epoch,split,loss,loss_sup,loss_rec,loss_sparse,coord_acc,exact_match,hamming_distance,support_precision,support_recall,soft_residual_abs_mean,soft_circular_loss,hard_residual_abs_mean,hard_circular_loss
1,train,0.4967417815685272,0.39484868545532226,1.0189309581756592,0.0,0.8695546875,5e-05,2.087125,0.003698319625854492,0.007425,32.23720458984375,1.0189309581756592,31.7502904296875,1.000096827507019
1,val,0.4909603551864624,0.38892541761398314,1.0203493419647216,0.0,0.875,0.0,2.0,0.0,0.0,32.27800131225586,1.0203493419647216,31.763781140136718,1.000558807373047
2,train,0.4908821206569672,0.3889276798248291,1.01954439163208,0.0,0.875,0.0,2.0,0.0,0.0,32.252925762939455,1.01954439163208,31.7528921875,1.0001937816619872
2,val,0.4909593327522278,0.38892449984550476,1.0203483093261718,0.0,0.875,0.0,2.0,0.0,0.0,32.27797677001953,1.0203483093261718,31.763781140136718,1.000558807373047
3,train,0.49088083548545836,0.38892650637626647,1.0195432872772217,0.0,0.875,0.0,2.0,0.0,0.0,32.25289649658203,1.0195432872772217,31.7528921875,1.0001937707901
3,val,0.49095824370384217,0.38892351922988894,1.020347261619568,0.0,0.875,0.0,2.0,0.0,0.0,32.27794871215821,1.020347261619568,31.763781140136718,1.000558807373047
4,train,0.49087952189445494,0.3889252977371216,1.019542226409912,0.0,0.875,0.0,2.0,0.0,0.0,32.252868157958986,1.019542226409912,31.7528921875,1.0001937748908996
4,val,0.49095717458724975,0.3889225585460663,1.020346180152893,0.0,0.875,0.0,2.0,0.0,0.0,32.27792456054687,1.020346180152893,31.763781140136718,1.000558807373047
5,train,0.4908783038139343,0.3889241738796234,1.0195412761688232,0.0,0.875,0.0,2.0,0.0,0.0,32.25284338378906,1.0195412761688232,31.7528921875,1.000193785095215
5,val,0.49095618948936465,0.3889216666221619,1.0203452056884765,0.0,0.875,0.0,2.0,0.0,0.0,32.27790001831055,1.0203452056884765,31.763781140136718,1.000558807373047
6,train,0.49087718658447266,0.38892315435409547,1.0195403099060059,0.0,0.875,0.0,2.0,0.0,0.0,32.2528180053711,1.0195403099060059,31.7528921875,1.000193779182434
6,val,0.4909552961349487,0.3889208633899689,1.0203443138122559,0.0,0.875,0.0,2.0,0.0,0.0,32.277878509521486,1.0203443138122559,31.763781140136718,1.000558807373047
7,train,0.4908761469364166,0.38892220005989075,1.019539464187622,0.0,0.875,0.0,2.0,0.0,0.0,32.25279564208984,1.019539464187622,31.7528921875,1.0001937795639038
7,val,0.4909544738769531,0.3889201190471649,1.0203435102462768,0.0,0.875,0.0,2.0,0.0,0.0,32.27785856323242,1.0203435102462768,31.763781140136718,1.000558807373047
8,train,0.49087522921562193,0.38892135667800903,1.0195387115478516,0.0,0.875,0.0,2.0,0.0,0.0,32.25277615966797,1.0195387115478516,31.7528921875,1.0001937839508057
8,val,0.4909537417411804,0.3889194624900818,1.0203427892684938,0.0,0.875,0.0,2.0,0.0,0.0,32.27784135131836,1.0203427892684938,31.763781140136718,1.000558807373047
9,train,0.49087439661026,0.3889205909729004,1.0195380485534669,0.0,0.875,0.0,2.0,0.0,0.0,32.25275838623047,1.0195380485534669,31.7528921875,1.0001937826156617
9,val,0.49095307531356813,0.38891885566711426,1.020342138671875,0.0,0.875,0.0,2.0,0.0,0.0,32.27782600097656,1.020342138671875,31.763781140136718,1.000558807373047
10,train,0.4908736243247986,0.3889198836326599,1.0195374071121215,0.0,0.875,0.0,2.0,0.0,0.0,32.252741772460936,1.0195374071121215,31.7528921875,1.0001937902450562
10,val,0.490952472448349,0.38891831312179564,1.0203415613174438,0.0,0.875,0.0,2.0,0.0,0.0,32.27781065063476,1.0203415613174438,31.763781140136718,1.000558807373047
11,train,0.49087295331954955,0.3889192677974701,1.019536835861206,0.0,0.875,0.0,2.0,0.0,0.0,32.25272703857422,1.019536835861206,31.7528921875,1.0001937786102295
11,val,0.49095193367004397,0.3889178285598755,1.0203410112380982,0.0,0.875,0.0,2.0,0.0,0.0,32.277797552490235,1.0203410112380982,31.763781140136718,1.000558807373047
12,train,0.49087233686447146,0.3889187016487122,1.019536339378357,0.0,0.875,0.0,2.0,0.0,0.0,32.2527135925293,1.019536339378357,31.7528921875,1.0001937828063965
12,val,0.49095144300460813,0.38891738905906675,1.0203405408859252,0.0,0.875,0.0,2.0,0.0,0.0,32.2777864074707,1.0203405408859252,31.763781140136718,1.000558807373047
13,train,0.49087178859710695,0.3889181972503662,1.019535877609253,0.0,0.875,0.0,2.0,0.0,0.0,32.252701416015626,1.019535877609253,31.7528921875,1.000193779373169
13,val,0.49095099668502806,0.38891698780059814,1.020340094947815,0.0,0.875,0.0,2.0,0.0,0.0,32.277776043701174,1.020340094947815,31.763781140136718,1.000558807373047
14,train,0.4908712797164917,0.38891773281097414,1.0195354530334473,0.0,0.875,0.0,2.0,0.0,0.0,32.25269041137695,1.0195354530334473,31.7528921875,1.000193782043457
14,val,0.49095060782432554,0.38891663484573363,1.0203396856307982,0.0,0.875,0.0,2.0,0.0,0.0,32.27776567993164,1.0203396856307982,31.763781140136718,1.000558807373047
15,train,0.49087082557678224,0.38891731805801394,1.0195350704193116,0.0,0.875,0.0,2.0,0.0,0.0,32.25268040161133,1.0195350704193116,31.7528921875,1.0001937811851502
15,val,0.49095024480819704,0.3889163023471832,1.0203393739700317,0.0,0.875,0.0,2.0,0.0,0.0,32.277758441162106,1.0203393739700317,31.763781140136718,1.000558807373047
16,train,0.4908704312324524,0.38891695556640626,1.0195347385406495,0.0,0.875,0.0,2.0,0.0,0.0,32.25267166137695,1.0195347385406495,31.7528921875,1.0001937797546387
16,val,0.49094991769790647,0.3889160111427307,1.0203390501022338,0.0,0.875,0.0,2.0,0.0,0.0,32.277751110839844,1.0203390501022338,31.763781140136718,1.000558807373047
17,train,0.49087007036209107,0.388916624212265,1.0195344367980956,0.0,0.875,0.0,2.0,0.0,0.0,32.25266405029297,1.0195344367980956,31.7528921875,1.0001937728881836
17,val,0.4909496433734894,0.3889157673358917,1.0203387937545776,0.0,0.875,0.0,2.0,0.0,0.0,32.277742309570314,1.0203387937545776,31.763781140136718,1.000558807373047
18,train,0.4908697563648224,0.3889163345336914,1.0195341871261596,0.0,0.875,0.0,2.0,0.0,0.0,32.25265729980469,1.0195341871261596,31.7528921875,1.0001937803268433
18,val,0.49094940423965455,0.3889155427455902,1.0203385553359985,0.0,0.875,0.0,2.0,0.0,0.0,32.277736932373045,1.0203385553359985,31.763781140136718,1.000558807373047
19,train,0.49086947445869444,0.3889160779953003,1.019533943939209,0.0,0.875,0.0,2.0,0.0,0.0,32.25265038146973,1.019533943939209,31.7528921875,1.0001937744140625
19,val,0.4909491810798645,0.38891534399986266,1.020338338470459,0.0,0.875,0.0,2.0,0.0,0.0,32.27773311767578,1.020338338470459,31.763781140136718,1.000558807373047
20,train,0.49086922855377196,0.38891585359573366,1.0195337329864502,0.0,0.875,0.0,2.0,0.0,0.0,32.25264528808594,1.0195337329864502,31.7528921875,1.0001937746047973
20,val,0.49094897623062134,0.38891515979766844,1.020338146018982,0.0,0.875,0.0,2.0,0.0,0.0,32.277728430175785,1.020338146018982,31.763781140136718,1.000558807373047
21,train,0.49086900520324706,0.3889156477928162,1.0195335559844971,0.0,0.875,0.0,2.0,0.0,0.0,32.25264075927734,1.0195335559844971,31.7528921875,1.0001937774658203
21,val,0.4909488187789917,0.38891501150131225,1.0203380268096924,0.0,0.875,0.0,2.0,0.0,0.0,32.27772461547852,1.0203380268096924,31.763781140136718,1.000558807373047
22,train,0.4908688196182251,0.38891547422409056,1.0195334117889405,0.0,0.875,0.0,2.0,0.0,0.0,32.25263609619141,1.0195334117889405,31.7528921875,1.0001937797546387
22,val,0.4909486575603485,0.38891487703323363,1.020337822151184,0.0,0.875,0.0,2.0,0.0,0.0,32.27772041015625,1.020337822151184,31.763781140136718,1.000558807373047
