epoch,split,loss,loss_sup,loss_rec,loss_sparse,coord_acc,exact_match,hamming_distance,support_precision,support_recall,soft_residual_abs_mean,soft_circular_loss,hard_residual_abs_mean,hard_circular_loss
1,train,0.4173987278461456,0.3256717542648315,0.9083791241645813,0.08890573763847351,0.8627,0.2258,2.1968,0.4508,0.4508,29.386026416015625,0.9083791241645813,24.500402734375,0.7647503349304199
1,val,0.3518103183746338,0.2673625467300415,0.8412447108268738,0.032329668653011324,0.9012250007629394,0.38439999933242797,1.580399997138977,0.6048999983787536,0.6048999983787536,27.660067669677733,0.8412447108268738,19.509015582275392,0.603180961227417
2,train,0.33318980798721315,0.2501050526857376,0.8271162052154541,0.037313201379776,0.913684375,0.449775,1.38105,0.6547375,0.6547375,27.296734075927734,0.8271162052154541,17.494176171875,0.538487060546875
2,val,0.32185394830703734,0.23918634202480316,0.8211892340660095,0.054868316525220874,0.9271000005722045,0.5271999982357025,1.1664000001907349,0.7083999976158142,0.7083999976158142,27.14427520751953,0.8211892340660095,15.152298400878907,0.4632220028877258
3,train,0.3139535695552826,0.23184157812595368,0.8162017068862915,0.0491819130897522,0.9353125,0.576875,1.035,0.74125,0.74125,27.01565873413086,0.8162017068862915,13.613730078125,0.41382465724945067
3,val,0.31292821664810183,0.23079675102233888,0.8158458348274231,0.054687849700450895,0.9391499970436096,0.6090000008583069,0.9736000005722046,0.7565999975204468,0.7565999975204468,27.011310360717772,0.8158458348274231,12.63968592529297,0.3824686250686645
4,train,0.305751943731308,0.2241198444366455,0.8117909372329712,0.04530011960864067,0.94691875,0.651025,0.8493,0.787675,0.787675,26.90142275390625,0.8117909372329712,11.3470228515625,0.34096009588241577
4,val,0.3099445514678955,0.2275286346435547,0.8197108319282532,0.04448331634998322,0.9381500001907349,0.5971999978065491,0.9895999969482422,0.7526000007629394,0.7526000007629394,27.106265948486328,0.8197108319282532,12.956575004577637,0.392402113199234
5,train,0.2995222524642944,0.2179883107185364,0.8111920059204102,0.04147417456507683,0.955303125,0.705475,0.71515,0.8212125,0.8212125,26.88387544555664,0.8111920059204102,9.6858140625,0.28757478499412537
5,val,0.3059160065174103,0.22386889808177948,0.8157349405288696,0.04736128576993942,0.9531000001907348,0.6991999983787537,0.7503999969482422,0.8124000007629395,0.8124000007629395,27.00323888244629,0.8157349405288696,9.869993765258789,0.2933994057178497
6,train,0.2950026792526245,0.21345631885528565,0.8116003351211548,0.0386324222445488,0.96110625,0.74425,0.6223,0.844425,0.844425,26.891758746337892,0.8116003351211548,8.50523359375,0.2496515256881714
6,val,0.30029311842918394,0.21803528282642365,0.8185253764152527,0.04052941877841949,0.9542749989509582,0.7059999981880188,0.7315999980926514,0.8171000004768372,0.8171000004768372,27.06840739440918,0.8185253764152527,9.63662966003418,0.2857003995895386
7,train,0.2911093930721283,0.20944473037719727,0.8128301574707031,0.03816458480358124,0.966709375,0.78375,0.53265,0.8668375,0.8668375,26.91797469482422,0.8128301574707031,7.3016541015625,0.21099259152412414
7,val,0.29716712951660157,0.21448291563987731,0.8225324641227723,0.04309657312035561,0.9611499987602233,0.7534000011444092,0.6216000011444092,0.8445999997138977,0.8445999997138977,27.172867755126955,0.8225324641227723,8.210524964904785,0.24002109999656676
8,train,0.28926858491897584,0.2075123233795166,0.8136871320724487,0.03875429338812828,0.96925625,0.79865,0.4919,0.877025,0.877025,26.940596704101562,0.8136871320724487,6.851392578125,0.196574329662323
8,val,0.29916932969093324,0.21487302069664002,0.8369354170799256,0.06027614369392395,0.9547499988555909,0.7067999974250794,0.7239999996185302,0.8190000000953674,0.8190000000953674,27.543548983764648,0.8369354170799256,9.62212967376709,0.28532105474472047
9,train,0.2875945580482483,0.20568093428611756,0.8151596678733826,0.03976567213535309,0.9713,0.8128,0.4592,0.8852,0.8852,26.97900401916504,0.8151596678733826,6.421793359375,0.18278477425575257
9,val,0.29573887591361997,0.21342111744880676,0.8193636204719543,0.03814014707803726,0.964249998664856,0.7750000008583069,0.571999997997284,0.856999999332428,0.856999999332428,27.094106967163086,0.8193636204719543,7.557362472534179,0.21906005148887633
10,train,0.2861440757751465,0.20415214519500732,0.8158621356010437,0.04057171969413757,0.97315,0.82485,0.4296,0.8926,0.8926,26.99591272277832,0.8158621356010437,6.0527486328125,0.17090774545669557
10,val,0.2957360043525696,0.21417747123241423,0.8124921761512757,0.030931325694918632,0.9663499996185303,0.7911999995231629,0.5383999967575073,0.8653999984741211,0.8653999984741211,26.915184686279296,0.8124921761512757,7.071924991607666,0.20345121076107026
11,train,0.28543994121551514,0.2032921284675598,0.8172747220993042,0.04203378977775574,0.97421875,0.8304,0.4125,0.896875,0.896875,27.032052154541017,0.8172747220993042,5.889921484375,0.16572048835754394
11,val,0.29392302646636964,0.21062610106468202,0.8282418334960937,0.04727403335571289,0.9660249967575073,0.7858,0.5436000004768372,0.8640999963760376,0.8640999963760376,27.31747444152832,0.8282418334960937,7.2189015243530275,0.20810900690555573
12,train,0.28432441549301146,0.20206211619377137,0.8183618585586547,0.04261102929711342,0.976059375,0.843625,0.38305,0.9042375,0.9042375,27.0595900970459,0.8183618585586547,5.480975390625,0.15253676562309265
12,val,0.2932894618034363,0.21022689962387084,0.8262355151176453,0.043901038199663164,0.9674749973297119,0.7987999991416931,0.520400000667572,0.869899998664856,0.869899998664856,27.273400918579103,0.8262355151176453,6.831081240844727,0.19568820111751556
13,train,0.2833874547958374,0.20101555545330047,0.8193370712280273,0.043819151043891905,0.977096875,0.84905,0.36645,0.9083875,0.9083875,27.086669860839844,0.8193370712280273,5.319075390625,0.1473518946647644
13,val,0.29294586277008056,0.2090768151283264,0.8333731049537658,0.05317321496009827,0.9657749979019165,0.7829999998092652,0.5476000008583068,0.8631000009536743,0.8631000009536743,27.45144546813965,0.8333731049537658,7.311759376525879,0.21114568035602568
14,train,0.2828522685527802,0.20039111959934236,0.8201393724441528,0.04472115534543991,0.977571875,0.8529,0.35885,0.9102875,0.9102875,27.10731120605469,0.8201393724441528,5.2018232421875,0.14360829882621765
14,val,0.2957772397518158,0.21038387513160706,0.8469885189056396,0.06945095224380493,0.9599999992370606,0.7394000011444092,0.6399999981880188,0.8399999969482422,0.8399999969482422,27.801937710571288,0.8469885189056396,8.641009378051757,0.2538329071521759
15,train,0.2821801260471344,0.19947592046260834,0.8223749769210815,0.04667058346569538,0.978428125,0.858325,0.34515,0.9137125,0.9137125,27.166054776000976,0.8223749769210815,5.0361009765625,0.13827178058624268
15,val,0.2924107075214386,0.20938967156410218,0.8259150683403015,0.04295314968824387,0.9688999983787536,0.8089999989509582,0.4975999979019165,0.8755999981880188,0.8755999981880188,27.261946087646486,0.8259150683403015,6.5206265602111815,0.18574046096801758
16,train,0.28194393935203554,0.1992052287578583,0.8226789664268493,0.04708105236887932,0.978946875,0.86125,0.33685,0.9157875,0.9157875,27.17437160949707,0.8226789664268493,4.953506640625,0.13565381939411164
16,val,0.2932202718257904,0.20839697353839876,0.8420159182548523,0.06216993101239204,0.9647499969482422,0.7739999966621399,0.5639999974250793,0.858999997138977,0.858999997138977,27.67401974182129,0.8420159182548523,7.576515623474121,0.2196383894920349
17,train,0.28118008222579954,0.19829792895317078,0.823967105960846,0.04854404656887054,0.9797,0.866425,0.3248,0.9188,0.9188,27.207895361328124,0.823967105960846,4.7945546875,0.130543137049675
17,val,0.29165827107429504,0.20731944844722747,0.8377468515396118,0.056413111460208894,0.9690749995231629,0.8069999987602234,0.4947999982833862,0.8762999980926514,0.8762999980926514,27.566223947143556,0.8377468515396118,6.586704684448242,0.18789492943286895
18,train,0.28093327293396,0.19797872996330262,0.8246240041732789,0.049213961446285245,0.980284375,0.8703,0.31545,0.9211375,0.9211375,27.22386799926758,0.8246240041732789,4.673354296875,0.126633589220047
18,val,0.2962473865032196,0.21013153462409973,0.8534678623199463,0.07690659458637238,0.9589249970436097,0.7359999965667725,0.6572000005722046,0.8356999975204468,0.8356999975204468,27.970285870361327,0.8534678623199463,8.722268725585938,0.256372540473938
19,train,0.28067414450645445,0.19763413743972777,0.8253394415855407,0.05060615717172623,0.9804,0.870575,0.3136,0.9216,0.9216,27.242943215942383,0.8253394415855407,4.669759375,0.12656063930988312
19,val,0.2937099565505981,0.20812736160755158,0.8488975093841553,0.06928410540819169,0.9641249985694885,0.7700000003814698,0.5739999995231628,0.8564999989509583,0.8564999989509583,27.853603674316407,0.8488975093841553,7.698199966430664,0.22356407799720765
20,train,0.2802009158611298,0.19709021303653718,0.8259858320236206,0.05121158308982849,0.980828125,0.87305,0.30675,0.9233125,0.9233125,27.25964329223633,0.8259858320236206,4.59521953125,0.12417334513664245
20,val,0.2935986026763916,0.20827903397083283,0.846580691242218,0.0661499648809433,0.9646749962806702,0.7788000005722046,0.5651999987602234,0.8586999991416931,0.8586999991416931,27.791418719482422,0.846580691242218,7.434998416137695,0.21515438737869264
21,train,0.2799172553539276,0.19658806028366088,0.8280076924324036,0.05284245614409447,0.98155625,0.8769,0.2951,0.926225,0.926225,27.312263000488283,0.8280076924324036,4.4792296875,0.12045807189941406
