epoch,split,loss,loss_sup,loss_rec,loss_sparse,coord_acc,exact_match,hamming_distance,pred_pos_mean,true_pos_mean,support_precision,support_recall,soft_residual_abs_mean,soft_circular_loss,hard_residual_abs_mean,hard_circular_loss
1,train,0.4951993399620056,0.3933249013900757,1.0187443710327149,0.0,0.5121953125,0.0,7.804875,7.761625,2.0,0.12615253715515137,0.4891875,32.23292325439453,1.0187443710327149,31.7354611328125,0.9995622182846069
1,val,0.490948037815094,0.38891429085731505,1.0203374128341676,0.0,0.5248124973297119,0.0,7.603000005340576,7.777800003814697,2.0,0.1397475594997406,0.5436999996185303,32.27770926513672,1.0203374128341676,31.799470223999023,1.002082747554779
2,train,0.49086781272888186,0.3889145384311676,1.019532710647583,0.0,0.5116546875,0.0,7.813525,7.778775,2.0,0.12651262686252593,0.4913125,32.25261823120117,1.019532710647583,31.7395634765625,0.99963050365448
2,val,0.49094802093505857,0.3889142793655396,1.0203373762130736,0.0,0.5241875011444092,0.0,7.612999981689453,7.786599990081787,2.0,0.13953181262016295,0.5433999974250794,32.27770965576172,1.0203373762130736,31.798154602050783,1.0020337747573853
3,train,0.4908677802085876,0.388914509677887,1.0195326986312867,0.0,0.51216875,0.0,7.8053,7.77905,2.0,0.12694745512008668,0.4934375,32.25261717529297,1.0195326986312867,31.754116015625,1.0002110763549805
3,val,0.4909479904174805,0.388914254951477,1.0203373517990113,0.0,0.5236749979972839,0.0,7.621199994659424,7.797600003051758,2.0,0.13950058438777924,0.5440999974250793,32.27770926513672,1.0203373517990113,31.792182830810546,1.001851459312439
4,train,0.49086774716377257,0.3889144797325134,1.0195326553344726,0.0,0.5113390625,0.0,7.818575,7.790075,2.0,0.12655835878849028,0.492875,32.25261658935547,1.0195326553344726,31.736737890625,0.9994924108505249
4,val,0.4909479552268982,0.3889142258644104,1.0203373058319092,0.0,0.5229874994277954,0.0,7.63219997177124,7.812999970245361,2.0,0.13953096251487732,0.5451999996185303,32.27770770263672,1.0203373058319092,31.78891561279297,1.00164866399765
5,train,0.49086770725250245,0.3889144423484802,1.019532628250122,0.0,0.5109859375,0.0,7.824225,7.802125,2.0,0.12680036842823028,0.494475,32.25261552734375,1.019532628250122,31.7416818359375,0.999669664478302
5,val,0.4909479369163513,0.3889142052173615,1.0203372785568237,0.0,0.5218624979972839,0.0,7.650199994659424,7.832600003051758,2.0,0.1392085914850235,0.5455999974250794,32.27770731201172,1.0203372785568237,31.79375783081055,1.0018476587295533
6,train,0.4908676702976227,0.3889144109249115,1.0195325759887695,0.0,0.51065,0.0,7.8296,7.8014,2.0,0.1264196742296219,0.49295,32.252614562988285,1.0195325759887695,31.7379693359375,0.9996204839706421
6,val,0.49094789185523985,0.3889141716480255,1.0203372203826904,0.0,0.5210124985694885,0.0,7.66379998550415,7.844600003051758,2.0,0.13903751935958863,0.5451999997138977,32.27770653076172,1.0203372203826904,31.7972609375,1.002023495388031
7,train,0.49086762709617615,0.38891437067985535,1.019532540512085,0.0,0.5100890625,0.0,7.838575,7.816825,2.0,0.12656842217445374,0.4945625,32.2526134765625,1.019532540512085,31.7539689453125,1.000211025428772
7,val,0.49094786205291746,0.3889141387939453,1.0203371837615967,0.0,0.5201500009536744,0.0,7.677599984741211,7.864799973297119,2.0,0.13897876017093658,0.5467999971389771,32.277704968261716,1.0203371837615967,31.78967023010254,1.0017503029823303
8,train,0.4908675820827484,0.3889143297195435,1.0195325077056885,0.0,0.5100140625,0.0,7.839775,7.825225,2.0,0.12702191092967988,0.4963625,32.25261282958984,1.0195325077056885,31.7382119140625,0.999576290512085
8,val,0.49094781770706175,0.38891410665512083,1.020337159347534,0.0,0.5190000004768371,0.0,7.695999992370606,7.8804,2.0,0.13853499300479888,0.5460999972343444,32.27770379638672,1.020337159347534,31.794696774291992,1.0019361295700073
9,train,0.49086753678321837,0.3889142897605896,1.0195324632644653,0.0,0.5098296875,0.0,7.842725,7.825025,2.0,0.1267858483672142,0.495575,32.25261129760742,1.0195324632644653,31.7604060546875,1.0004622780799866
9,val,0.4909477871894836,0.3889140730857849,1.0203370983123778,0.0,0.5176374976158142,0.0,7.7178000007629395,7.901399971008301,2.0,0.13815897707939148,0.5458999972343445,32.277703497314455,1.0203370983123778,31.788443627929688,1.0017668176651
10,train,0.49086749453544615,0.3889142500400543,1.019532422065735,0.0,0.5094296875,0.0,7.849125,7.836175,2.0,0.12695634207725526,0.4967625,32.25261083984375,1.019532422065735,31.7549404296875,1.0002840462684632
